analysis_set,analysis_tier,cohort,wave,method,target_classes,replicate_id,adjusted_rand_index_vs_full_fit,replicate_min_class_pct_on_full_data,replicate_converged,skip_reason
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,24,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,25,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,26,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,27,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,28,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,29,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,30,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,31,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,32,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,33,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,34,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,35,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,36,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,37,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,38,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,39,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,40,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,41,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,42,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,43,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,44,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,45,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,46,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,47,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,48,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,49,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,50,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,51,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,52,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,53,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,54,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,55,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,56,1.0,33.32779531483635,1,
strict_earliest_primary,strict_primary,CHARLS,1,severity_quantile_k,3,57,1.0,33.32779531483635,1,
